tweet_id	tweet_text	label
'383600460340666369'	RT @Faiz_Baluch: #BalochistanEarthQuake Pakistan army is terrorizing the people by aerial firing in #Awaran https://t.co/R3R5ph8zSS http://…	other_useful_information
'383790723222364161'	#Earthquake 2013-09-28 02:39:43 (M5.0) EAST OF THE SOUTH SANDWICH ISLANDS -59.5 -19.1 (70fa9) http://t.co/uBN98fFmNj notice	other_useful_information
'384232048124518400'	#earthquake M2.2: Puerto Rico region http://t.co/f2OBUZAF7x	other_useful_information
'384860484643475456'	#PAKISTAN: #NASA releases images of Pakistan's '#Earthquake #Island'  | http://t.co/wBKdQFT7Fu | c #SCIENCE | RT |``	other_useful_information
'383407962619772928'	【#USGS #alert】 M 1.5, Central Alaska: September 27, 2013 01:43:53 GMT http://t.co/Lxne9Dghfx #earthquake #tsunami #prayfromjapan	other_useful_information
'384275270082887680'	RT @AQpk: RT @313syiSitak: #YFK volunteers share their views on #Kashmir with Farah in her live Morning Show on #ATV http://t.co/alLPKCLeDy…	donation_needs_or_offers_or_volunteering_services
'382846453221036032'	@HamidMirGEO: It is ridiculous, rubbish. Now you're doing the same using #EarthQuake for ur own filthy purposes. Pardon me fr my language.	not_related_or_irrelevant
'384223701144576001'	@mosharrafzaidi #Pakistan #Peshawar A Message For Terrorists &amp; Their Supporters/Sympathizers http://t.co/DakrfWGG6E	not_related_or_irrelevant
'383596911598768128'	RT @CNBCPAKISTAN: Minister of State Sheikh Aftab: 9 soldiers and 4 civilians killed due to firing by Indian forces at #LoC #Pakistan	injured_or_dead_people
'384041956038303744'	RT @kkfpk: Pic-9 #KKF send relief goods for #Balochistan Earthquake Victims #ReliefByKKF #MQM #Pakistan http://t.co/0lVb1lsY95	donation_needs_or_offers_or_volunteering_services
'384607507382935552'	RT @AnasMallick: Day 7th and some parts of Balochistan hit by #EarthQuake are YET to receive relief aid. #Pakistan	donation_needs_or_offers_or_volunteering_services
'383904420523544576'	RT @Emirates247: Breaking News: Powerful 6.8 #earthquake rocks #Pakistan again; Tremors in UAE? http://t.co/X08hupMdzc	other_useful_information
'383984866217295872'	what does attack on #earthquake relief means? terrorist org dnt want to let anyone do good to #Balochistan	other_useful_information
'383877756872032257'	Karachi: Magnitude 7.2 earthquake jolts different parts of Sindh, Balochistan,Awaran #Pakistan	other_useful_information
'383487691297284098'	Field Mecical Camps and lady doctors are also Reaching #Earthquake Affected Areas in #Balochistan Fed Minster Gen Rt Abdul Qadir #PMLN	donation_needs_or_offers_or_volunteering_services
'383215415931195392'	RT @Baloch_istan: Interior Minister Chaudhry Nisar to visit #earthquake hit areas of #Balochistan tomorrow. (RT @khalidkhan787)	other_useful_information
'384745974133817344'	#Earthquake Births New Island off #Pakistan : Natural Hazards http://t.co/80iGIHNXPQ #NASA	other_useful_information
'384241412361170944'	Very #Sad #News : 2 consecutive #Blasts in Qisa Khawani Bazar in #Peshawar #Pakistan currently reported dead 33... http://t.co/i3C8Qwmg4O	injured_or_dead_people
